actor,object,optimal_behavior,stimuli_behavior,distance,distance_distances,mod,gp,optimal_behavior_first_word,optimal_behavior_rest,optimal_behavior_all,stimuli_behavior_first_word,stimuli_behavior_rest,stimuli_behavior_all,actor_object_pair
bailiff,surgeon,ask about,alert,5.4549,5.56005123,13,3,asks,about,asks about,alerts,NA,alerts,bailiff __________ surgeon
bailiff,surgeon,ask about,doubt,7.1101,7.570522899,14,4,asks,about,asks about,doubts,NA,doubts,bailiff __________ surgeon
bailiff,teacher,ask about,flee,5.9329,5.388601829,15,4,asks,about,asks about,flees,NA,flees,bailiff __________ teacher
bailiff,teacher,ask about,torment,24.3041,24.03767022,16,3,asks,about,asks about,torments,NA,torments,bailiff __________ teacher
bailiff,technician,show something to,hunt for,6.2694,7.246853396,1,2,shows,something to,shows something to,hunts,for,hunts for,bailiff __________ technician
bailiff,technician,show something to,distrust,6.9065,7.800126282,2,1,shows,something to,shows something to,distrusts,NA,distrusts,bailiff __________ technician
civil engineer,bailiff,serve,mother,6.0705,5.187064799,5,1,serves,NA,serves,mothers,NA,mothers,civil engineer __________ bailiff
civil engineer,bailiff,serve,debase,10.6658,12.03866565,6,2,serves,NA,serves,debases,NA,debases,civil engineer __________ bailiff
civil engineer,civil engineer,turn to,hassle,5.1626,22.98106866,7,3,turns,to,turns to,hassles,NA,hassles,civil engineer __________ civil engineer
civil engineer,civil engineer,turn to,shaft,21.2726,21.13197425,8,4,turns,to,turns to,shafts,NA,shafts,civil engineer __________ civil engineer
civil engineer,cook,turn to,brush off,12.1313,12.26380995,9,4,turns,to,turns to,brushs,off,brushes off,civil engineer __________ cook
civil engineer,cook,turn to,distress,17.6157,17.44541375,10,3,turns,to,turns to,distresss,NA,distresses,civil engineer __________ cook
civil engineer,crane operator,turn to,demote,10.9394,9.875514581,11,2,turns,to,turns to,demotes,NA,demotes,civil engineer __________ crane operator
civil engineer,crane operator,turn to,upstage,14.2457,13.92272381,12,1,turns,to,turns to,upstages,NA,upstages,civil engineer __________ crane operator
